x B1 B2 B3 B4 B5 B6 B7 B8 knots
0.15916 0.0014192 0.28536 0.62922 0.083995 0 0 0 0 0
0.16016 0.0013174 0.28215 0.63094 0.08559 0 0 0 0 0
0.16116 0.0012206 0.27896 0.63262 0.087205 0 0 0 0 0
0.16216 0.0011286 0.27577 0.63426 0.08884 0 0 0 0 0
0.16316 0.0010414 0.2726 0.63587 0.090495 0 0 0 0 0
0.16416 0.00095876 0.26943 0.63744 0.092171 0 0 0 0 0
0.16517 0.00088064 0.26628 0.63897 0.093867 0 0 0 0 0
0.16617 0.00080689 0.26314 0.64047 0.095584 0 0 0 0 0
0.16717 0.00073737 0.26001 0.64193 0.097322 0 0 0 0 0
0.16817 0.00067196 0.2569 0.64335 0.099081 0 0 0 0 0
0.16917 0.00061054 0.25379 0.64473 0.10086 0 0 0 0 0
0.17017 0.00055298 0.25071 0.64608 0.10266 0 0 0 0 0
0.17117 0.00049916 0.24763 0.64739 0.10448 0 0 0 0 0
0.17217 0.00044895 0.24457 0.64865 0.10633 0 0 0 0 0
0.17317 0.00040222 0.24152 0.64988 0.10819 0 0 0 0 0
0.17417 0.00035886 0.23849 0.65107 0.11008 0 0 0 0 0
0.17518 0.00031873 0.23548 0.65222 0.11199 0 0 0 0 0
0.17618 0.0002817 0.23248 0.65332 0.11392 0 0 0 0 0
0.17718 0.00024767 0.22949 0.65439 0.11587 0 0 0 0 0
0.17818 0.00021649 0.22652 0.65541 0.11785 0 0 0 0 0
0.17918 0.00018804 0.22357 0.65639 0.11985 0 0 0 0 0
0.18018 0.0001622 0.22064 0.65733 0.12187 0 0 0 0 0
0.18118 0.00013885 0.21772 0.65823 0.12391 0 0 0 0 0
0.18218 0.00011785 0.21483 0.65908 0.12597 0 0 0 0 0
0.18318 9.9081e-05 0.21195 0.65989 0.12806 0 0 0 0 0
0.18418 8.242e-05 0.20909 0.66066 0.13017 0 0 0 0 0
0.18519 6.774e-05 0.20624 0.66138 0.13231 0 0 0 0 0
0.18619 5.4916e-05 0.20342 0.66206 0.13446 0 0 0 0 0
0.18719 4.3822e-05 0.20062 0.66269 0.13664 0 0 0 0 0
0.18819 3.4333e-05 0.19784 0.66328 0.13885 0 0 0 0 0
0.18919 2.6323e-05 0.19508 0.66382 0.14107 0 0 0 0 0
0.19019 1.9667e-05 0.19234 0.66432 0.14333 0 0 0 0 0
0.19119 1.424e-05 0.18962 0.66477 0.1456 0 0 0 0 0
0.19219 9.9162e-06 0.18692 0.66517 0.1479 0 0 0 0 0
0.19319 6.5704e-06 0.18424 0.66553 0.15022 0 0 0 0 0
0.19419 4.0771e-06 0.18159 0.66584 0.15257 0 0 0 0 0
0.1952 2.3109e-06 0.17896 0.6661 0.15494 0 0 0 0 0
0.1962 1.1466e-06 0.17635 0.66631 0.15734 0 0 0 0 0
0.1972 4.5871e-07 0.17377 0.66647 0.15976 0 0 0 0 0
0.1982 1.2187e-07 0.17121 0.66659 0.1622 0 0 0 0 0
0.1992 1.0699e-08 0.16868 0.66665 0.16467 0 0 0 0 0
0.2002 0 0.16617 0.66667 0.16717 1.6717e-10 0 0 0 0
0.2012 0 0.16368 0.66663 0.16969 3.6108e-08 0 0 0 0
0.2022 0 0.16122 0.66655 0.17223 2.225e-07 0 0 0 0
0.2032 0 0.15879 0.66641 0.1748 6.8472e-07 0 0 0 0
0.2042 0 0.15638 0.66623 0.17739 1.5481e-06 0 0 0 0
0.20521 0 0.15399 0.666 0.18001 2.9381e-06 0 0 0 0
0.20621 0 0.15163 0.66572 0.18265 4.9801e-06 0 0 0 0
0.20721 0 0.14929 0.66539 0.18531 7.7994e-06 0 0 0 0
0.20821 0 0.14698 0.66502 0.18799 1.1521e-05 0 0 0 0
0.20921 0 0.14469 0.6646 0.1907 1.6271e-05 0 0 0 0
0.21021 0 0.14242 0.66413 0.19343 2.2175e-05 0 0 0 0
0.21121 0 0.14018 0.66361 0.19618 2.9357e-05 0 0 0 0
0.21221 0 0.13796 0.66305 0.19895 3.7944e-05 0 0 0 0
0.21321 0 0.13577 0.66245 0.20174 4.806e-05 0 0 0 0
0.21421 0 0.1336 0.6618 0.20455 5.9831e-05 0 0 0 0
0.21522 0 0.13145 0.6611 0.20738 7.3383e-05 0 0 0 0
0.21622 0 0.12932 0.66036 0.21023 8.884e-05 0 0 0 0
0.21722 0 0.12722 0.65957 0.2131 0.00010633 0 0 0 0
0.21822 0 0.12514 0.65875 0.21598 0.00012597 0 0 0 0
