x B0 B1 B2 B3 knots
0.123123123123123 1 0.231231231231231 0.0190956722488254 0.00122653216813443 0
0.124124124124124 1 0.241241241241241 0.0207847630270053 0.00139281723098328 0
0.125125125125125 1 0.251251251251251 0.0225454254483284 0.00157349065385675 0
0.126126126126126 1 0.261261261261261 0.0243776595127946 0.00176914946414175 0
0.127127127127127 1 0.271271271271271 0.0262814652204041 0.0019803906892252 0
0.128128128128128 1 0.281281281281281 0.0282568425711569 0.00220781135649402 0
0.129129129129129 1 0.291291291291291 0.0303037915650528 0.0024520084933351 0
0.13013013013013 1 0.301301301301301 0.032422312202092 0.00271357912713538 0
0.131131131131131 1 0.311311311311311 0.0346124044822743 0.00299312028528175 0
0.132132132132132 1 0.321321321321321 0.0368740684055999 0.00329122899516115 0
